event_id,event_date,actor,recorded_or_received,first_euid,last_euid,source_id,certainty,notes
KNOW-COMP25,2025-03-19,Patient,Formal complaint,COMP25-20250319-0001,COMP25-20250319-0079,COMP25,source_event_established_representation_scope_only,"Does not infer personal reading, subjective knowledge, agreement, or legal effect beyond the source wording."
KNOW-QPS250415,2025-04-15,QPS,QPS letter,QPS250415-20250415-0001,QPS250415-20250415-0038,QPS250415,source_event_established_representation_scope_only,"Does not infer personal reading, subjective knowledge, agreement, or legal effect beyond the source wording."
KNOW-COUN25,2025-05-07,Prof Timothy Counihan,Counihan response,COUN25-20250507-0001,COUN25-20250507-0027,COUN25,source_event_established_representation_scope_only,"Does not infer personal reading, subjective knowledge, agreement, or legal effect beyond the source wording."
KNOW-QPS250530,2025-05-30,QPS,QPS PAR letter,QPS250530-20250530-0001,QPS250530-20250530-0033,QPS250530,source_event_established_representation_scope_only,"Does not infer personal reading, subjective knowledge, agreement, or legal effect beyond the source wording."
KNOW-ART16250612,2025-06-12,Patient,Article 16 clinical request,ART16250612-20250612-0001,ART16250612-20250612-0047,ART16250612,source_event_established_representation_scope_only,"Does not infer personal reading, subjective knowledge, agreement, or legal effect beyond the source wording."
KNOW-QPS250613,2025-06-13,QPS,QPS IMF letter,QPS250613-20250613-0001,QPS250613-20250613-0047,QPS250613,source_event_established_representation_scope_only,"Does not infer personal reading, subjective knowledge, agreement, or legal effect beyond the source wording."
KNOW-ART16250615,2025-06-15,Patient,Article 16 QPS request,ART16250615-20250615-0001,ART16250615-20250615-0022,ART16250615,source_event_established_representation_scope_only,"Does not infer personal reading, subjective knowledge, agreement, or legal effect beyond the source wording."
KNOW-ART15250707,2025-07-07,Patient,Article 15 request,ART15250707-20250707-0001,ART15250707-20250707-0027,ART15250707,source_event_established_representation_scope_only,"Does not infer personal reading, subjective knowledge, agreement, or legal effect beyond the source wording."
KNOW-ART16250707,2025-07-07,Patient,Article 16 reminders,ART16250707-20250707-0001,ART16250707-20250707-0028,ART16250707,source_event_established_representation_scope_only,"Does not infer personal reading, subjective knowledge, agreement, or legal effect beyond the source wording."
KNOW-GDPRACK250714,2025-07-14,GUH and patient,GDPR acknowledgment and clarification,GDPRACK250714-20250714-0001,GDPRACK250714-20250714-0027,GDPRACK250714,source_event_established_representation_scope_only,"Does not infer personal reading, subjective knowledge, agreement, or legal effect beyond the source wording."
KNOW-ART16250716,2025-07-16,Patient,Consolidated Article 16 request,ART16250716-20250716-0001,ART16250716-20250716-0019,ART16250716,source_event_established_representation_scope_only,"Does not infer personal reading, subjective knowledge, agreement, or legal effect beyond the source wording."
KNOW-IMF250718,2025-07-18,Patient,Patient IMF clarification,IMF250718-20250718-0001,IMF250718-20250718-0020,IMF250718,source_event_established_representation_scope_only,"Does not infer personal reading, subjective knowledge, agreement, or legal effect beyond the source wording."
KNOW-MCCOUN25,2025-07-29,Medical Council,Medical Council Counihan decision,MCCOUN25-20250729-0001,MCCOUN25-20250729-0051,MCCOUN25,source_event_established_representation_scope_only,"Does not infer personal reading, subjective knowledge, agreement, or legal effect beyond the source wording."
KNOW-MCMON25,2025-07-29,Dr Thomas Monaghan,Monaghan Medical Council response,MCMON25-20250729-0001,MCMON25-20250729-0183,MCMON25,source_event_established_representation_scope_only,"Does not infer personal reading, subjective knowledge, agreement, or legal effect beyond the source wording."
KNOW-MONSUP25,2025-07-29,Dr Thomas Monaghan,Monaghan supporting-documentation index,MONSUP25-20250729-0001,MONSUP25-20250729-0157,MONSUP25,source_event_established_representation_scope_only,"Does not infer personal reading, subjective knowledge, agreement, or legal effect beyond the source wording."
KNOW-ART18250804,2025-08-04,Patient,Article 18 notice,ART18250804-20250804-0001,ART18250804-20250804-0016,ART18250804,source_event_established_representation_scope_only,"Does not infer personal reading, subjective knowledge, agreement, or legal effect beyond the source wording."
KNOW-ART15250805,2025-08-05,GUH,Article 15 decision,ART15250805-20250805-0001,ART15250805-20250805-0021,ART15250805,source_event_established_representation_scope_only,"Does not infer personal reading, subjective knowledge, agreement, or legal effect beyond the source wording."
KNOW-PAR250806,2025-08-06,Patient Advocacy Service,PAR status via Patient Advocacy,PAR250806-20250806-0001,PAR250806-20250806-0040,PAR250806,source_event_established_representation_scope_only,"Does not infer personal reading, subjective knowledge, agreement, or legal effect beyond the source wording."
KNOW-SIMT250901,2025-09-01,GUH SIMT,Signed SIMT outcome,SIMT250901-20250901-0001,SIMT250901-20250901-0031,SIMT250901,source_event_established_representation_scope_only,"Does not infer personal reading, subjective knowledge, agreement, or legal effect beyond the source wording."
KNOW-SIMT250903,2025-09-03,GUH SIMT,SIMT outcome,SIMT250903-20250903-0001,SIMT250903-20250903-0029,SIMT250903,source_event_established_representation_scope_only,"Does not infer personal reading, subjective knowledge, agreement, or legal effect beyond the source wording."
KNOW-ART16CL250906,2025-09-06,GUH,Article 16 clinical decision,ART16CL250906-20250906-0001,ART16CL250906-20250906-0047,ART16CL250906,source_event_established_representation_scope_only,"Does not infer personal reading, subjective knowledge, agreement, or legal effect beyond the source wording."
KNOW-ART16QPS250906,2025-09-06,GUH,Article 16 QPS decision,ART16QPS250906-20250906-0001,ART16QPS250906-20250906-0038,ART16QPS250906,source_event_established_representation_scope_only,"Does not infer personal reading, subjective knowledge, agreement, or legal effect beyond the source wording."
KNOW-DPC260113,2026-01-13,DPC,DPC re-engagement,DPC260113-20260113-0001,DPC260113-20260113-0019,DPC260113,source_event_established_representation_scope_only,"Does not infer personal reading, subjective knowledge, agreement, or legal effect beyond the source wording."
